muestra_id,origen_grifo,timestep,MQ2,MQ4,MQ135,MQ3,MQ7,MQ9,temp,humedad
MUESTRA_018,Grifo_2,1,23167.0,21738.0,22408.0,2868.0,19569.0,2857.0,25.5,32.9
MUESTRA_018,Grifo_2,2,23168.0,21726.0,22420.0,2882.0,19547.0,2831.0,25.6,33.0
MUESTRA_018,Grifo_2,3,23159.0,21723.0,22406.0,2868.0,19539.0,2851.0,25.6,33.0
MUESTRA_018,Grifo_2,4,23162.0,21728.0,22398.0,2869.0,19563.0,2853.0,25.6,33.0
MUESTRA_018,Grifo_2,5,23173.0,21712.0,22399.0,2876.0,19550.0,2834.0,25.6,33.0
MUESTRA_018,Grifo_2,6,23171.0,21717.0,22393.0,2884.0,19541.0,2836.0,25.6,33.0
MUESTRA_018,Grifo_2,7,23173.0,21713.0,22394.0,2870.0,19552.0,2850.0,25.6,33.0
MUESTRA_018,Grifo_2,8,23168.0,21726.0,22397.0,2867.0,19547.0,2851.0,25.6,33.0
MUESTRA_018,Grifo_2,9,23154.0,21711.0,22383.0,2866.0,19541.0,2855.0,25.6,33.0
MUESTRA_018,Grifo_2,10,23177.0,21728.0,22396.0,2865.0,19532.0,2843.0,25.6,32.9
MUESTRA_018,Grifo_2,11,23163.0,21711.0,22378.0,2881.0,19534.0,2823.0,25.6,32.9
MUESTRA_018,Grifo_2,12,23171.0,21722.0,22378.0,2865.0,19552.0,2838.0,25.6,33.0
MUESTRA_018,Grifo_2,13,23176.0,21723.0,22388.0,2870.0,19565.0,2845.0,25.6,33.0
MUESTRA_018,Grifo_2,14,23175.0,21715.0,22383.0,2881.0,19566.0,2837.0,25.6,33.0
MUESTRA_018,Grifo_2,15,23160.0,21724.0,22384.0,2865.0,19556.0,2859.0,25.6,33.0
MUESTRA_018,Grifo_2,16,23166.0,21722.0,22396.0,2865.0,19537.0,2845.0,25.6,33.0
MUESTRA_018,Grifo_2,17,23167.0,21706.0,22401.0,2872.0,19537.0,2841.0,25.6,33.0
MUESTRA_018,Grifo_2,18,23169.0,21710.0,22393.0,2861.0,19519.0,2854.0,25.6,33.0
