tiempo,muestra_id,etiqueta,MQ2,MQ4,MQ135,MQ3,MQ7,MQ9,temp,humedad
0,gasolina_90_001,gasolina_90,0.0,1.63,0.0,0.0,0.73,0.0,21.66,59.72
1,gasolina_90_001,gasolina_90,27.14,21.35,31.19,39.17,15.79,17.68,22.01,59.29
2,gasolina_90_001,gasolina_90,56.77,39.84,62.19,85.15,20.25,34.65,21.88,60.93
3,gasolina_90_001,gasolina_90,84.77,54.19,97.8,118.35,32.64,45.7,21.73,60.1
4,gasolina_90_001,gasolina_90,111.73,74.59,122.75,156.65,36.91,64.45,21.91,60.53
5,gasolina_90_001,gasolina_90,133.66,84.42,150.05,189.65,48.04,82.5,22.21,60.47
6,gasolina_90_001,gasolina_90,151.73,103.4,174.37,224.84,56.79,93.26,21.78,59.4
7,gasolina_90_001,gasolina_90,176.92,122.08,195.9,254.02,66.95,104.18,22.07,60.77
8,gasolina_90_001,gasolina_90,193.29,135.5,209.53,280.7,73.27,116.73,22.02,59.01
9,gasolina_90_001,gasolina_90,210.44,143.85,241.72,302.14,77.27,126.89,22.18,60.16
10,gasolina_90_001,gasolina_90,226.07,155.52,256.19,330.43,83.84,137.48,21.92,59.27
11,gasolina_90_001,gasolina_90,244.04,165.25,273.33,349.11,87.55,146.63,21.93,59.6
12,gasolina_90_001,gasolina_90,257.17,175.48,295.26,371.18,98.04,156.48,21.62,59.99
13,gasolina_90_001,gasolina_90,271.39,190.83,304.27,391.07,102.28,161.44,22.23,60.38
14,gasolina_90_001,gasolina_90,286.26,189.29,323.31,404.21,108.93,179.24,21.8,59.72
15,gasolina_90_001,gasolina_90,296.06,198.53,327.78,425.69,108.46,181.3,21.82,60.77
16,gasolina_90_001,gasolina_90,304.51,206.58,347.36,437.76,116.52,190.55,21.68,60.09
17,gasolina_90_001,gasolina_90,318.02,216.92,352.88,452.43,121.33,193.84,22.05,60.17
18,gasolina_90_001,gasolina_90,324.92,221.84,368.39,468.23,129.03,200.28,21.76,60.33
19,gasolina_90_001,gasolina_90,333.12,229.65,381.2,480.98,129.75,205.62,22.16,60.95
20,gasolina_90_001,gasolina_90,343.81,230.78,384.61,493.23,129.84,210.58,22.06,60.41
21,gasolina_90_001,gasolina_90,352.54,242.78,395.43,515.28,134.95,211.82,21.79,60.24
22,gasolina_90_001,gasolina_90,359.27,245.6,406.0,517.61,133.34,214.38,21.91,60.43
23,gasolina_90_001,gasolina_90,367.55,244.43,412.93,529.0,135.86,223.62,22.01,59.43
24,gasolina_90_001,gasolina_90,374.49,254.25,422.98,540.37,136.83,224.3,22.1,60.26
25,gasolina_90_001,gasolina_90,381.06,268.25,428.29,549.38,146.13,232.77,21.94,60.38
26,gasolina_90_001,gasolina_90,382.89,259.83,431.53,554.42,152.36,228.68,22.14,59.19
27,gasolina_90_001,gasolina_90,389.13,267.42,439.17,558.61,145.29,239.57,21.85,60.11
28,gasolina_90_001,gasolina_90,395.67,265.57,451.01,570.92,143.24,241.12,21.87,60.43
29,gasolina_90_001,gasolina_90,397.82,270.34,451.34,578.33,147.48,242.4,21.91,59.67
30,gasolina_90_001,gasolina_90,409.86,274.85,450.95,584.76,159.09,249.15,21.7,59.76
31,gasolina_90_001,gasolina_90,412.45,274.27,460.66,590.21,151.49,248.36,21.35,59.49
32,gasolina_90_001,gasolina_90,411.71,275.23,468.52,589.09,154.39,251.26,22.29,59.28
33,gasolina_90_001,gasolina_90,419.53,281.43,464.69,599.91,157.65,251.24,22.01,59.81
34,gasolina_90_001,gasolina_90,419.72,285.64,476.15,599.62,164.72,249.21,21.97,60.29
35,gasolina_90_001,gasolina_90,423.35,283.9,474.28,606.35,157.73,259.52,22.07,59.65
36,gasolina_90_001,gasolina_90,428.14,288.67,480.64,613.93,158.12,257.07,22.15,60.31
37,gasolina_90_001,gasolina_90,428.11,289.96,485.11,614.21,163.28,259.81,21.96,60.55
38,gasolina_90_001,gasolina_90,433.21,293.78,488.07,619.73,164.65,261.04,22.06,59.93
